"고유번호","센터ID","센터명","위도","경도"
"21","1121101","양천119안전센터","37.527161","126.8694519"
"22","1122101","신내119안전센터","37.6102463","127.0964731"
"42","1115104","서초119안전센터","37.4877727","127.0171447"
"3","1106102","이촌119안전센터","37.5278414","126.9583175"
"4","1106104","후암119안전센터","37.5448956","126.9812418"
"5","1103104","신교119안전센터","37.5803978","126.9645766"
"6","1103108","종로119안전센터","37.5794792","126.9910088"
"7","1103102","세종로119안전센터","37.5819579","126.9767474"
"8","1103105","연건119안전센터","37.5805686","126.9981782"
"9","1104401","무학119안전센터","37.562532","127.0161236"
"10","1104105","을지로119안전센터","37.5654179","127.0000943"
"11","1104103","충무로119안전센터","37.5626602","126.9846082"
"12","1104106","신당119안전센터","37.5535742","127.0004385"
"13","1100106","회현119안전센터","37.5604901","126.9735034"
"14","1106103","이태원119안전센터","37.5357223","127.0019661"
"15","1106101","한강로119안전센터","37.5383933","126.9741056"
"16","1105104","행당119안전센터","37.5626326","127.0394365"
"17","1118103","고덕119안전센터","37.5615464","127.1611931"
"19","1107105","휘경119안전센터","37.5939478","127.0653692"
"26","1107103","전농119안전센터","37.575877","127.0556709"
"27","1119401","고일119안전센터","37.4941679","126.8619411"
"28","1119102","수궁119안전센터","37.4910188","126.8318079"
"29","1107102","청량리119안전센터","37.5915968","127.0509504"
"30","1109101","종암119안전센터","37.5960187","127.0356398"
"31","1121105","신트리119안전센터","37.5134744","126.8515772"
"32","1116401","관악119안전센터","37.4598087","126.9554258"
"33","1119105","독산119안전센터","37.4663645","126.8975665"
"34","1109102","돈암119안전센터","37.5908712","127.0008697"
"35","1120401","마천119안전센터","37.4891719","127.1320185"
"36","1102103","상도119안전센터","37.4999956","126.9399032"
"37","1102101","동작119안전센터","37.5002519","126.9192213"
"38","1113105","공덕119안전센터","37.5498957","126.9555567"
"39","1113104","서교119안전센터","37.5546142","126.9104746"
"40","1113103","염리119안전센터","37.5453942","126.9460147"
"41","1117105","개화119안전센터","37.5704357","126.7947963"
"43","1115103","양재119안전센터","37.456873","127.0623586"
"44","1117103","방화119안전센터","37.5760761","126.8320142"
"45","1109104","장위119안전센터","37.6122072","127.0545794"
"46","1109103","길음119안전센터","37.6167753","127.0025314"
"47","1108103","당산119안전센터","37.5375407","126.8945099"
"48","1108101","영등포119안전센터","37.5178444","126.8978281"
"54","1120105","종합운동장119안전센터","37.513567","127.0838102"
"62","1114104","역삼119안전센터","37.4951124","127.0404704"
"73","1113107","상암119안전센터","37.5715458","126.8778766"
"81","1117102","화곡119안전센터","37.5376924","126.8500445"
"87","1115401","반포119안전센터","37.502498","126.9959341"
"94","1110102","방학119안전센터","37.6603019","127.0434774"
"1","1121102","신정119안전센터","37.5206982","126.8510351"
"2","1115105","잠원119안전센터","37.50765","127.0137281"
"18","1110108","쌍문119안전센터","37.6576524","127.0244435"
"20","1107104","용두119안전센터","37.5805914","127.0342271"
"49","1120104","잠실119안전센터","37.5141125","127.0995051"
"25","1112108","진관119안전센터","37.6328379","126.934085"
"50","1119107","신도림119안전센터","37.5066233","126.8798866"
"51","1119103","고척119안전센터","37.5041898","126.8499207"
"52","1123103","홍은119안전센터","37.5931834","126.9409333"
"53","1123102","북가좌119안전센터","37.5775163","126.9145643"
"55","1123101","연희119안전센터","37.5696345","126.9343459"
"56","1120102","거여119안전센터","37.4918331","127.1489076"
"57","1114106","개포119안전센터","37.4804298","127.0610333"
"58","1116103","신림119안전센터","37.4823082","126.9263575"
"59","1116102","봉천119안전센터","37.4851768","126.9473275"
"60","1122103","망우119안전센터","37.5961145","127.1009235"
"61","1122104","중화119안전센터","37.6041951","127.082669"
"63","1114105","수서119안전센터","37.4793209","127.0978613"
"64","1125103","미아119안전센터","37.6219824","127.0290876"
